Points_num,Min_date,Max_date,date2012_p,date2013_p,date2014_p,date2015_p,date2016_p,date2017_p,date2018_p,date2019_p,date2020_p,date2021_p,CONTINENT,area,Type,Nation,Locations,ORIG_FID,geometry
1452,2012-01-20,2021-02-13,78,78,83,51,60,57,101,81,72,106,Asia,0.732503,0,India,"[77.9125500000000,11.8130800000000;77.9210300000000,11.8193700000000]",20744,POINT (77.91678999999999 11.816225)
880,2012-02-10,2021-12-28,12,12,21,74,89,62,61,56,12,25,Asia,0.967446,0,India,"[80.0844000000000,13.4163600000000;80.0935000000000,13.4239400000000]",20745,POINT (80.08895000000001 13.42015)
2952,2012-01-31,2021-10-25,54,54,41,98,252,178,329,153,69,59,Asia,1.6592,0,India,"[80.2776800000000,13.1557500000000;80.2906400000000,13.1648400000000]",20746,POINT (80.28416 13.160295)
146,2012-02-04,2021-03-01,2,2,2,2,10,5,22,3,3,3,Asia,0.355507,0,India,"[79.9092300000000,12.9858400000000;79.9142700000000,12.9908700000000]",20747,POINT (79.91175000000001 12.988354999999999)
381,2015-01-29,2021-05-16,0,0,0,2,0,0,30,73,99,83,Asia,0.310592,0,India,"[79.3045200000000,10.8108700000000;79.3090400000000,10.8157600000000]",20748,POINT (79.30677999999999 10.813315)
26,2014-04-09,2015-02-05,0,0,1,11,0,0,0,0,0,0,Asia,0.325095,0,India,"[79.6694300000000,10.7519200000000;79.6737800000000,10.7572100000000]",20749,POINT (79.671605 10.754565)
94,2014-12-04,2021-12-23,0,0,2,7,9,6,7,5,7,5,Asia,0.351922,1,India,"[78.7876400000000,10.7639000000000;78.7940400000000,10.7678400000000]",20750,POINT (78.79084 10.765869999999998)
88,2014-12-15,2021-11-21,0,0,1,2,7,3,12,3,4,4,Asia,0.269486,1,India,"[78.7892800000000,10.7593700000000;78.7935900000000,10.7638500000000]",20751,POINT (78.791435 10.761610000000001)
103,2012-01-30,2017-02-11,16,16,2,3,10,7,0,0,0,0,Asia,0.466711,0,India,"[77.6594800000000,8.63123000000000;77.6648500000000,8.63750000000000]",20752,POINT (77.662165 8.634364999999999)
125,2012-02-04,2015-03-21,22,22,20,5,0,0,0,0,0,0,Asia,0.178352,0,India,"[77.5664400000000,10.9621100000000;77.5700500000000,10.9657100000000]",20753,POINT (77.56824499999999 10.96391)
77,2012-01-26,2012-02-26,25,25,0,0,0,0,0,0,0,0,Asia,0.404496,0,India,"[77.5972300000000,10.9665300000000;77.6021000000000,10.9725800000000]",20754,POINT (77.59966499999999 10.969555)
30,2015-07-06,2017-02-02,0,0,0,1,9,4,0,0,0,0,Asia,0.13944,0,India,"[77.4164300000000,10.7450900000000;77.4204500000000,10.7476200000000]",20755,POINT (77.41844 10.746355)
51,2017-11-22,2021-02-24,0,0,0,0,0,4,5,2,6,13,Asia,0.095951,0,India,"[77.0636800000000,10.9291800000000;77.0676100000000,10.9309700000000]",20756,POINT (77.065645 10.930075)
201,2012-02-24,2021-02-23,1,1,9,2,42,13,6,19,5,9,Asia,0.232619,1,India,"[77.3013900000000,10.9004100000000;77.3054000000000,10.9046500000000]",20757,POINT (77.303395 10.90253)
19,2015-05-27,2016-05-21,0,0,0,5,4,0,0,0,0,0,Asia,0.204617,0,India,"[79.2857800000000,19.2385000000000;79.2897300000000,19.2423800000000]",20758,POINT (79.287755 19.24044)
174,2013-11-09,2020-01-14,0,0,3,39,15,12,7,1,2,0,Asia,0.372193,1,India,"[79.5488800000000,18.6728700000000;79.5540800000000,18.6781900000000]",20759,POINT (79.55148 18.675530000000002)
2967,2012-05-31,2021-05-04,2,2,17,25,17,174,549,165,50,77,Asia,4.54895,1,India,"[79.5454900000000,18.6518300000000;79.5616500000000,18.6727500000000]",20760,POINT (79.55357000000001 18.662290000000002)
162,2012-01-22,2021-05-04,10,10,27,27,0,1,0,0,2,11,Asia,0.468897,0,India,"[79.5352100000000,18.7011400000000;79.5401000000000,18.7082700000000]",20761,POINT (79.537655 18.704704999999997)
23,2014-12-21,2015-02-12,0,0,2,9,0,0,0,0,0,0,Asia,0.115823,0,India,"[79.5180500000000,18.7184200000000;79.5216100000000,18.7208400000000]",20762,POINT (79.51983 18.71963)
28,2013-05-24,2015-02-13,0,0,5,8,0,0,0,0,0,0,Asia,0.190356,0,India,"[79.5257600000000,18.7129500000000;79.5307100000000,18.7158100000000]",20763,POINT (79.528235 18.714380000000002)
92,2016-02-17,2016-02-24,0,0,0,0,45,0,0,0,0,0,Asia,0.432761,0,India,"[79.4747200000000,18.7924600000000;79.4796400000000,18.7990100000000]",20764,POINT (79.47718 18.795735)
138,2012-01-21,2021-05-12,18,18,0,0,0,16,8,12,4,2,Asia,0.361213,0,India,"[80.7838400000000,17.9449800000000;80.7889600000000,17.9501100000000]",20765,POINT (80.78640000000001 17.947544999999998)
176,2012-01-20,2020-04-24,53,53,0,0,0,2,2,1,1,0,Asia,0.204945,1,India,"[80.7791500000000,17.9469600000000;80.7836800000000,17.9502500000000]",20766,POINT (80.78141500000001 17.948605)
323,2012-01-23,2020-04-29,87,87,1,8,2,1,6,7,2,0,Asia,0.368269,0,India,"[80.7806700000000,17.9503000000000;80.7872500000000,17.9543700000000]",20767,POINT (80.78396000000001 17.952334999999998)
39,2012-02-07,2012-03-06,12,12,0,0,0,0,0,0,0,0,Asia,0.084862,0,India,"[80.7792700000000,17.9525500000000;80.7807500000000,17.9567200000000]",20768,POINT (80.78001 17.954635)
710,2012-01-20,2021-11-23,73,73,21,0,0,0,37,146,36,99,Asia,0.810187,0,India,"[80.7601200000000,17.9457600000000;80.7663300000000,17.9552500000000]",20769,POINT (80.763225 17.950505)
8835,2012-01-20,2021-10-03,311,311,529,415,735,1019,418,136,158,147,Asia,3.16325,0,India,"[80.7937000000000,17.9466800000000;80.8106100000000,17.9602800000000]",20770,POINT (80.802155 17.95348)
90,2017-04-18,2019-05-30,0,0,0,0,0,42,1,1,0,0,Asia,0.382011,0,India,"[80.8274600000000,17.9678500000000;80.8320800000000,17.9738600000000]",20771,POINT (80.82977 17.970854999999997)
54,2016-03-15,2021-10-08,0,0,0,0,10,2,5,4,2,3,Asia,0.301914,0,India,"[81.1087800000000,17.2400300000000;81.1131900000000,17.2449600000000]",20772,POINT (81.110985 17.242495)
464,2012-01-20,1899-12-30,130,130,6,2,0,3,10,3,0,0,Asia,0.980555,0,India,"[80.6503800000000,17.4558200000000;80.6576800000000,17.4655700000000]",20773,POINT (80.65403 17.460695)
415,2017-12-02,2021-02-14,0,0,0,0,0,3,60,107,58,2,Asia,0.460638,0,India,"[80.3170500000000,17.5745700000000;80.3227000000000,17.5805200000000]",20774,POINT (80.319875 17.577545)
251,2013-02-17,2020-02-05,0,0,0,0,0,15,52,0,1,0,Asia,0.561791,0,India,"[80.3206300000000,17.5710800000000;80.3296400000000,17.5756300000000]",20775,POINT (80.32513499999999 17.573355)
73,2015-10-02,2020-12-09,0,0,0,3,3,8,8,5,6,0,Asia,0.259198,1,India,"[78.1278500000000,17.0389700000000;78.1325100000000,17.0431300000000]",20776,POINT (78.13018 17.041050000000002)
1094,2012-01-20,2021-10-13,58,58,45,38,2,1,89,140,118,119,Asia,0.635573,0,India,"[78.2202100000000,17.1429200000000;78.2274200000000,17.1495100000000]",20777,POINT (78.223815 17.146214999999998)
86,2012-01-20,1899-12-30,27,27,0,0,0,0,0,0,0,0,Asia,0.389205,0,India,"[78.1636400000000,17.0833800000000;78.1690700000000,17.0887400000000]",20778,POINT (78.16635500000001 17.08606)
57,2016-11-18,2020-03-03,0,0,0,0,2,4,9,4,2,0,Asia,0.158209,0,India,"[78.7204700000000,17.4726200000000;78.7241400000000,17.4758300000000]",20779,POINT (78.722305 17.474224999999997)
304,2012-01-30,2021-12-08,27,27,19,14,3,16,17,8,10,12,Asia,0.179995,0,India,"[79.9141500000000,16.8085000000000;79.9178400000000,16.8120600000000]",20780,POINT (79.91599500000001 16.81028)
151,2012-10-12,2021-02-22,2,2,8,8,8,8,9,7,10,10,Asia,0.121748,0,India,"[80.0352100000000,16.8299800000000;80.0382800000000,16.8328700000000]",20781,POINT (80.036745 16.831425)
234,2012-01-21,2021-11-06,2,2,8,4,10,16,21,18,26,19,Asia,0.409992,0,India,"[79.8129300000000,16.7130200000000;79.8201800000000,16.7171500000000]",20782,POINT (79.816555 16.715085000000002)
